id,ts,provider,model,rate_per_m,source,is_measured,confidence,sample_tokens,sample_cost_usd,velocity,note
6152,1786936502.301054,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6153,1786936502.301054,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6154,1786936502.3026626,openrouter,,0.46588674299975924,openrouter_actual,1,1.0,13054801,6.0820587184,0.0,
6155,1786936502.0780478,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6156,1786936502.0780478,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6157,1786936802.4009173,friend,,0.001,zai_amortized,0,0.7,690994150,0.0,0.0,
6158,1786936802.4190311,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6159,1786936802.630295,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6160,1786936802.630295,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6161,1786936802.630295,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6162,1786936802.630295,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6163,1786936802.630295,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6164,1786936802.6313872,openrouter,,0.4659313540453745,openrouter_actual,1,1.0,13072782,6.091019018399999,0.0,
6165,1786936802.400914,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6166,1786936802.400914,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6167,1786937101.620204,friend,,0.001,zai_amortized,0,0.7,691032918,0.0,0.0,
6168,1786937101.6364427,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6169,1786937101.8573942,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6170,1786937101.8573942,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6171,1786937101.8573942,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6172,1786937101.8573942,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6173,1786937101.8573942,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6174,1786937101.8584852,openrouter,,0.46513465901438045,openrouter_actual,1,1.0,13111550,6.0986363383999995,0.0,
6175,1786937101.6202009,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6176,1786937101.6202009,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6177,1786937402.9124062,friend,,0.001,zai_amortized,0,0.7,691074260,0.0,0.0,
6178,1786937402.9421353,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6179,1786937403.1885371,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6180,1786937403.1885371,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6181,1786937403.1885371,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6182,1786937403.1885371,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6183,1786937403.1885371,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6184,1786937403.190578,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6185,1786937402.9124026,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6186,1786937402.9124026,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6187,1786937702.5008934,friend,,0.001,zai_amortized,0,0.7,691074260,0.0,0.0,
6188,1786937702.520153,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6189,1786937702.7450964,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6190,1786937702.7450964,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
