id,ts,provider_used,effective_price,next_best_price,savings_per_1m,estimated_tokens,estimated_savings_usd,is_peak_hour,mode
1626,1787173622.800424,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,8996,8.65864999999997e-05,0,consumer
1627,1787173626.1821837,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,70612,0.0006796404999999977,0,consumer
1628,1787173628.5840087,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,50518,0.00048623574999999837,0,consumer
1629,1787173630.3729706,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,70849,0.0006819216249999977,0,consumer
1630,1787173638.0583932,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,72581,0.0006985921249999976,0,consumer
1631,1787173638.700283,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,56035,0.0005393368749999982,0,consumer
1632,1787173642.4100962,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,72868,0.0007013544999999976,0,consumer
1633,1787173646.421021,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,73045,0.0007030581249999977,0,consumer
1634,1787173646.4615452,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,78839,0.0007588253749999974,0,consumer
1635,1787173650.7835305,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,73890,0.0007111912499999976,0,consumer
1636,1787173651.3478265,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,79226,0.0007625502499999973,0,consumer
1637,1787173655.5264044,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,74315,0.0007152818749999975,0,consumer
1638,1787173656.2631874,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,79453,0.0007647351249999974,0,consumer
1639,1787173659.3347552,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,74479,0.0007168603749999976,0,consumer
1640,1787173661.0411644,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,79799,0.0007680653749999974,0,consumer
1641,1787173663.7640336,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,74696,0.0007189489999999976,0,consumer
1642,1787173675.6406898,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,75589,0.0007275441249999975,0,consumer
1643,1787173682.1463392,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,76079,0.0007322603749999974,0,consumer
1644,1787173688.1414294,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,76437,0.0007357061249999975,0,consumer
1645,1787173691.2221572,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,83189,0.0008006941249999972,0,consumer
1646,1787173697.2438977,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,83783,0.0008064113749999971,0,consumer
1647,1787173703.175369,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,84322,0.0008115992499999972,0,consumer
1648,1787173709.9443204,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,84893,0.0008170951249999972,0,consumer
1649,1787173717.0806518,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,85578,0.0008236882499999972,0,consumer
1650,1787173725.391267,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,86168,0.0008293669999999971,0,consumer
1651,1787173730.428523,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,86518,0.0008327357499999971,0,consumer
1652,1787173735.1567845,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,86728,0.0008347569999999971,0,consumer
1653,1787173738.64525,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,86969,0.000837076624999997,0,consumer
1654,1787173742.819038,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,87274,0.0008400122499999972,0,consumer
1655,1787173747.4891348,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,87680,0.0008439199999999971,0,consumer
1656,1787173772.439898,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,88562,0.0008524092499999971,0,consumer
1657,1787173783.0112658,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,89179,0.0008583478749999971,0,consumer
1658,1787173794.2860813,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,89552,0.000861937999999997,0,consumer
1659,1787175261.1540892,telnyx,2.15,2.26825,0.11825000000000019,14258,0.0016860085000000027,0,consumer
